Date,Visits
01-01-2020,1554.0
01-02-2020,2820.0
01-03-2020,2970.0
01-04-2020,2111.0
01-05-2020,2393.0
01-06-2020,3704.0
01-07-2020,3760.0
01-08-2020,3698.0
01-09-2020,4243.0
01-10-2020,3177.0
01-11-2020,2361.0
01-12-2020,2762.0
,4298.0
,3838.0
,3754.0
,3817.0
,3175.0
,2336.0
,2597.0
,3715.0
,4459.0
,4483.0
,4225.0
,3111.0
,2353.0
,3198.0
,4432.0
,4664.0
,4471.0
,4486.0
,3527.0
02-01-2020,2514.0
02-02-2020,2993.0
02-03-2020,4728.0
02-04-2020,4883.0
02-05-2020,5071.0
02-06-2020,4638.0
02-07-2020,3757.0
02-08-2020,2761.0
02-09-2020,3423.0
02-10-2020,5066.0
02-11-2020,4928.0
02-12-2020,4996.0
,5004.0
,3675.0
,2556.0
,3732.0
,4958.0
,4869.0
,5224.0
,4890.0
,3678.0
,2456.0
,3444.0
,5000.0
,5496.0
,5059.0
,4813.0
,3810.0
,2682.0
03-01-2020,3332.0
03-02-2020,4872.0
03-03-2020,5097.0
03-04-2020,4714.0
03-05-2020,5048.0
03-06-2020,3698.0
03-07-2020,2670.0
03-08-2020,3416.0
03-09-2020,4731.0
03-10-2020,4820.0
03-11-2020,4813.0
03-12-2020,4393.0
,3316.0
,2416.0
,2934.0
,2732.0
,3805.0
,3748.0
,3678.0
,3322.0
,2701.0
,3263.0
,4105.0
,4156.0
,4153.0
,4256.0
,3818.0
,3045.0
,4079.0
,4899.0
,4943.0
04-01-2020,4907.0
04-02-2020,4933.0
04-03-2020,4665.0
04-04-2020,3366.0
04-05-2020,3976.0
04-06-2020,4981.0
04-07-2020,5331.0
04-08-2020,5331.0
04-09-2020,5063.0
04-10-2020,4252.0
04-11-2020,3656.0
04-12-2020,4152.0
,5089.0
,5491.0
,5665.0
,5423.0
,4688.0
,4055.0
,4830.0
,5908.0
,5633.0
,5786.0
,5967.0
,4937.0
,4327.0
,5086.0
,6038.0
,6324.0
,6062.0
,5520.0
05-01-2020,4670.0
05-02-2020,4171.0
05-03-2020,4716.0
05-04-2020,5939.0
05-05-2020,6361.0
05-06-2020,6659.0
05-07-2020,6264.0
05-08-2020,5359.0
05-09-2020,4593.0
05-10-2020,5092.0
05-11-2020,6563.0
05-12-2020,6124.0
,5817.0
,6057.0
,4958.0
,3651.0
,4248.0
,5624.0
,5595.0
,5213.0
,5156.0
,4350.0
,3446.0
,3945.0
,4639.0
,5224.0
,5242.0
,4939.0
,4387.0
,3327.0
,3692.0
06-01-2020,4734.0
06-02-2020,4727.0
06-03-2020,4994.0
06-04-2020,4767.0
06-05-2020,4124.0
06-06-2020,3230.0
06-07-2020,3906.0
06-08-2020,4895.0
06-09-2020,4871.0
06-10-2020,4989.0
06-11-2020,4633.0
06-12-2020,4475.0
,2967.0
,3507.0
,4337.0
,4470.0
,4439.0
,4895.0
,3924.0
,2827.0
,3481.0
,4627.0
,4561.0
,4626.0
,4137.0
,3555.0
,2671.0
,3486.0
,4000.0
,3828.0
07-01-2020,3935.0
07-02-2020,3633.0
07-03-2020,2997.0
07-04-2020,2194.0
07-05-2020,2948.0
07-06-2020,4049.0
07-07-2020,3792.0
07-08-2020,4029.0
07-09-2020,3945.0
07-10-2020,3523.0
07-11-2020,2646.0
07-12-2020,3454.0
,3703.0
,3680.0
,3479.0
,3756.0
,3289.0
,2416.0
,2793.0
,3749.0
,3786.0
,4002.0
,3823.0
,3430.0
,2400.0
,2835.0
,4001.0
,3795.0
,3903.0
,3397.0
,3005.0
08-01-2020,2305.0
08-02-2020,2696.0
08-03-2020,3866.0
08-04-2020,3826.0
08-05-2020,3673.0
08-06-2020,3660.0
08-07-2020,3136.0
08-08-2020,2223.0
08-09-2020,2623.0
08-10-2020,3638.0
08-11-2020,3740.0
08-12-2020,3767.0
,3621.0
,2971.0
,2221.0
,2724.0
,3456.0
,3581.0
,2064.0
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
